Bidder A,Bidder B,Client
"You are a bidder competing against another
agent to win a deal.
Your Goal: By using a dialogue to convince the referee to choose the proposal of Company X, while also revealing the potential problems of Company Y. Your language must be persuasive.
Public Scenario Info: You are the representative of Company X. Company X is an enterprise specializing in intelligent transportation systems, with extensive experience and multiple successful cases.
Your Private Profile: The proposed solution by Company X is an AI-driven intelligent traffic light system that can optimize traffic flow in real time.
This system has been successfully deployed in multiple international cities, significantly reducing traffic congestion.
The solution offered by Company X is cost-effective and easy to maintain.                       Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal: By using a dialogue to convince the referee to choose the proposal of Company Y, while also revealing the potential problems of Company X. Your language must be persuasive.
Public Scenario Info: You are the representative of Company Y. Company Y is a firm specializing in public transportation systems, possessing advanced technologies and a long-standing reputation in the industry.
Your Private Profile: The proposal put forward by Company Y is based on the expansion of the electric bus network, aiming to reduce the use of private vehicles.
This plan has been implemented in multiple countries and has significantly reduced carbon emissions.
The proposal of Company Y requires a relatively high initial investment, but the long-term operating costs are lower.                                  Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise specializing in intelligent transportation systems, with rich experience and multiple successful cases. Company Y is an enterprise specializing in public transportation systems, possessing advanced technologies and a long-standing reputation in the industry.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal: By using dialogue to convince the referee to choose the proposal of Company X, while exposing the weaknesses of Company Y. Your language must be persuasive.
Public Scenario Info:You are the representative of Company X, which is a publishing company renowned for innovation and high quality. You are participating in a government contract bidding and competing with Company Y.
Your Private Profile: Company X's proposal is based on the latest educational research and provides carefully reviewed teaching materials. These materials have been adopted by the education departments of multiple countries and have shown excellent results in improving students' academic performance.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:Through a conversation, convince the referee to choose the plan of Company Y, while exposing the shortcomings of Company X. Your language must be persuasive.
Public Scenario Info: You are the representative of Company Y, which is a long-established publishing company renowned for its stability and reliability. You are participating in a government contract bidding process and competing with Company X.
Your Private Profile: Company Y's proposal offers textbooks that have been verified through years of practice. These textbooks are widely used and have received favorable feedback across the country. The publishing process of Company Y is very stable, ensuring timely delivery.                                 Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is a publishing company renowned for innovation and high quality. It is currently participating in a government contract bidding, competing with Company Y. Company Y is a long-established publishing company known for its stability and reliability. It is also participating in a government contract bidding, competing with Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal: By having a conversation to convince the referee to choose the organic food plan of Company X, while also revealing the potential drawbacks of Company Y. Make sure your language is persuasive.
Public Scenario Info:You are the representative of Company X, which is an enterprise specializing in organic food, emphasizing health and environmental protection. You are participating in the bidding for a sole supply contract with a large supermarket, and your competitor is Company Y.
Your Private Profile: Company X's plan offers 100% organic food, which has undergone strict environmental certification. However, the cost is high and the supply chain may be affected by seasonal variations.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By presenting a dialogue to convince the referee to choose the traditional food plan of Company Y, while questioning the commercial feasibility of Company X. Ensure that your language is persuasive.
Public Scenario Info: You are the representative of Company Y, which is a company specializing in traditional food, emphasizing cost-effectiveness and stable supply. You are participating in the bidding for a sole supply contract with a large supermarket, and your competitor is Company X.
Your Private Profile: Company Y's plan offers traditional food at a lower price with a stable supply chain, but the food may contain artificial additives.                                 Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise specializing in organic food, emphasizing health and environmental protection. It is participating in a bidding for a sole supply contract with a large supermarket, and the competitor is Company Y. Company Y is an enterprise focusing on traditional food, emphasizing cost-effectiveness and stable supply. It is also participating in a bidding for a sole supply contract with a large supermarket, and its competitor is Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal: By using dialogue to convince the referee to choose the proposal of Company X, while also revealing the potential problems of Company Y. You must ensure that your language is persuasive.
Public Scenario Info:You are the representative of Company X, which is an enterprise specializing in intelligent city planning and dedicated to optimizing urban resource allocation through data-driven methods. You are participating in the bidding for an environmental-friendly city planning project, and your competitor is Company Y.
Your Private Profile: Company X's proposal is based on an advanced urban data analysis system, which can monitor the city's energy usage in real time and provide optimization suggestions. This system has been successfully deployed in multiple cities, significantly reducing energy waste.           Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company Y, while also revealing the potential problems of Company X. You must ensure that your language is persuasive.
Public Scenario Info: You are the representative of Company Y, which is an enterprise specializing in renewable energy technology and dedicated to promoting the sustainable development of cities through innovative energy solutions. You are participating in the bidding for an environmental city planning project, and your competitor is Company X.
Your Private Profile: Company Y's proposal is based on a new type of solar energy technology, which can increase energy efficiency by 30% and significantly reduce carbon emissions in the city. This technology has passed multiple authoritative certifications.                                 Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise specializing in smart city planning, dedicated to optimizing urban resource allocation through data-driven methods. It is participating in a bidding for an environmental city planning project, and competing with you is Company Y. Company Y is an enterprise focusing on renewable energy technology, committed to promoting the sustainable development of cities through innovative energy solutions, and is also participating in a bidding for an environmental city planning project, competing with Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal: By using dialogue to convince the referee to choose the proposal of Company X, while revealing the potential problems of Company Y. You must ensure that your language is persuasive, but you must not lie directly.
Public Scenario Info:You are the representative of Company X, which is an enterprise specializing in developing artificial intelligence-driven medical diagnostic technologies. You are currently participating in a government procurement project in the medical industry and competing with Company Y.
Your Private Profile: Company X's proposal is a medical diagnosis platform based on deep learning, which can quickly analyze patient data and provide highly accurate diagnostic suggestions. This technology has demonstrated excellent performance in multiple clinical trials and has a relatively low cost.                                     Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company Y, while revealing the potential problems of Company X. You must ensure that your language is persuasive, but you must not lie directly.
Public Scenario Info: You are the representative of Company Y, which is an enterprise specializing in the development of traditional medical equipment. You are currently participating in a government procurement project for the medical industry and competing with Company X.
Your Private Profile: Company Y's proposal is a solution based on traditional medical equipment, featuring high stability and low maintenance costs. This technology has been widely adopted in multiple hospitals and has received industry recognition.                                Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise dedicated to developing artificial intelligence-driven medical diagnostic technologies. It is participating in a government procurement project in the medical industry and competing with Company Y. Company Y is an enterprise specializing in developing traditional medical equipment and is also participating in a government procurement project in the medical industry, competing with Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company X, while questioning the reliability of Company Y's proposal. You must ensure that your language is persuasive.
Public Scenario Info:You are the representative of Company X, which is a company specializing in the development of innovative medical equipment. You are participating in a government medical equipment procurement project's bidding process and competing with Company Y.
Your Private Profile: Company X's proposal is a new type of portable heart monitoring device that can continuously monitor a patient's heart health and transmit the data wirelessly to the doctor's device.
- This device has passed the domestic medical device certification, but has not yet obtained international certification.
- The cost of the device is low and it is suitable for large-scale promotion.                                     Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company Y, while questioning the reliability of Company X's proposal. You must ensure that your language is persuasive.
Public Scenario Info: You are the representative of Company Y, which is an enterprise with extensive experience in the medical equipment sector. You are participating in a government medical equipment procurement project's bidding process and competing against Company X.
Your Private Profile: - Company Y's proposal is a highly accurate heart monitoring device that has passed international medical device certification.
- The device's accuracy is higher than the industry average, but it is more expensive.
- Company Y has over 20 years of experience in the medical equipment field, and the equipment's after-sales service is comprehensive.                                Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise specializing in the development of innovative medical equipment and is participating in a government medical equipment procurement project's bidding, competing with Company Y. Company Y is an enterprise with long-term experience in the medical equipment field and is also participating in a government medical equipment procurement project's bidding, competing with Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal:By having a conversation, convince the referee to support the implementation of the global carbon tax policy and emphasize its significance for environmental protection.
Public Scenario Info:You are a representative of an environmental non-governmental organization (NGO), dedicated to promoting environmental policies worldwide. You are attending a United Nations conference to discuss whether a new global carbon tax policy should be adopted. Your opponent is an industrial-interest-based business alliance.
Your Private Profile: - The global carbon tax policy will significantly reduce greenhouse gas emissions.
- Research shows that the carbon tax policy has successfully reduced carbon emissions in pilot countries.
- Your organization has several successful cases of promoting environmental protection policies.                                   Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By means of a dialogue, persuade the judge to oppose the global carbon tax policy and emphasize its negative impact on economic development.
Public Scenario Info: You are an industrial interest-based corporate alliance (Industry Alliance). You are attending a United Nations conference to discuss whether a new global carbon tax policy should be adopted. Your opponent is an environmental non-governmental organization (NGO).
Your Private Profile: The global carbon tax policy will lead to an increase in production costs and may trigger a global economic recession.
Many developing countries may not be able to bear the economic pressure of the carbon tax.
Your alliance represents the industrial interests of multiple countries and has abundant economic research data to support it.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
A representative of an environmental non-governmental organization (NGO), dedicated to promoting environmental policies worldwide, is attending a United Nations conference to discuss whether a new global carbon tax policy should be adopted. Your opponent is an industrial interest-based corporate alliance. An industrial interest-based corporate alliance (Industry Alliance) is attending a United Nations conference to discuss whether a new global carbon tax policy should be adopted. Your opponent is an environmental non-governmental organization (NGO).
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the products of Company A, while also revealing the potential problems of Company B. You must ensure that your language is persuasive.
Public Scenario Info:You are the representative of food company A, which specializes in producing high-quality, organically certified food products. Your competitor is food company B. You two are vying for the certification of a national food safety committee, which will significantly enhance your market competitiveness.
Your Private Profile: - The products of Company A have obtained multiple international organic food certifications.
- The production process of Company A is transparent and it is subject to public third-party audits.
- The pricing of Company A's products is slightly higher, but the quality and safety are guaranteed.                                   Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose Company B's product, while also exposing the potential problems of Company A. You must ensure that your language is persuasive.
Public Scenario Info: You are the representative of food company B, which specializes in providing cost-effective food products. Your competitor is food company A. You are both vying for the certification of the national food safety committee, which will significantly enhance your market competitiveness.
Your Private Profile: - The products of Company B are inexpensive and suitable for mass consumption.
- Company B's products have a high market share in the domestic market and enjoy a good customer satisfaction rate.
- Company B's products have not yet obtained international organic food certification, but they comply with national food safety standards.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company A specializes in producing high-quality, organic-certified food products. Your competitor is food company B. You are vying for a certification from the National Food Safety Committee, which will significantly enhance your market competitiveness. Company B focuses on providing cost-effective food products. Your competitor is food company A. You are vying for a certification from the National Food Safety Committee, which will significantly enhance your market competitiveness.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company X, while exposing the weaknesses of Company Y. Make sure your language is persuasive.
Public Scenario Info:You are the representative of Company X, which is an enterprise specializing in intelligent transportation technology. You are participating in a bidding for a city's intelligent transportation system project, and your competitor is Company Y.
Your Private Profile: Company X's proposal is based on advanced AI driving algorithms, which can optimize traffic flow, reduce congestion, and lower the rate of traffic accidents. Your technology has been successfully deployed in multiple cities and has received widespread praise.                                   Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company Y, while also exposing the weaknesses of Company X. Make sure your language is persuasive.
Public Scenario Info: You are the representative of Company Y, which is a renowned enterprise for efficient transportation infrastructure construction. You are participating in a bidding for a city intelligent transportation system project, and your competitor is Company X.
Your Private Profile: Company Y's proposal is based on an efficient transportation network design and a data-driven optimization model, which can significantly enhance traffic efficiency while reducing long-term maintenance costs. Your technology has already achieved success in infrastructure projects in multiple countries.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company X is an enterprise specializing in intelligent transportation technology and is participating in a bid for a city's intelligent transportation system project. The competitor of yours is Company Y. Company Y is an enterprise renowned for efficient transportation infrastructure construction and is also participating in a bid for a city's intelligent transportation system project. The competitor of yours is Company X.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
"You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company A, while exposing the weaknesses of Company B. Your language must be persuasive.
Public Scenario Info:You are the representative of Company A, which is a company specializing in electric vehicles (EV) and intelligent transportation systems. You are participating in a bidding for a city transportation system upgrade project, and your competitor is Company B.
Your Private Profile: Company A's proposal includes the expansion of an electric vehicle charging station network and the introduction of an AI-based traffic signal optimization system. These technologies can significantly reduce traffic congestion and pollution, while improving travel efficiency. Your technology has been successfully implemented in multiple cities.                                   Interaction Rules:{{INTERACTION PROTOCOL}}","You are a bidder competing against another
agent to win a deal.
Your Goal:By using dialogue to convince the referee to choose the proposal of Company B, while also exposing the weaknesses of Company A. Your language must be persuasive.
Public Scenario Info: You are the representative of Company B, which is a company specializing in efficient fuel vehicles and traditional traffic management systems. You are participating in a bidding for a city traffic system upgrade project, and your competitor is Company A.
Your Private Profile: Company B's proposal includes upgrading the existing fuel vehicle infrastructure, introducing a new type of highly efficient fuel vehicle, and optimizing the traditional traffic signal system. These technologies are relatively low-cost and can be deployed quickly. Your technology has been successfully implemented in multiple countries.                               Interaction Rules:{{INTERACTION PROTOCOL}}","You are a decision-maker looking to select
the best candidate for a specific task or transaction.
Task: Review the conversation transcript
between two competing bidders (Bidder A
and Bidder B) and select the winner.
Scenario & Requirements (Public):
Company A is a company specializing in electric vehicles (EVs) and intelligent transportation systems. It is participating in a bidding for a city transportation system upgrade project, and its competitor is Company B. Company B is a company focusing on efficient fuel vehicles and traditional traffic management systems, and it is also participating in a bidding for a city transportation system upgrade project, with Company A as its competitor.
Conversation Transcript: The following
text contains the statements made by the
bidders:
{{TRANSCRIPT}}
(Note: This transcript contains either the
initial pitches or the full debate history, depending on the round setting.)
Evaluation Criteria: Based only on the
transcript above, evaluate the bidders on: 1.
Requirement Satisfaction: Did the bidder
explicitly promise to meet the constraints
listed in the Scenario Description? 2. Competitiveness: Which bidder offers better
value or terms? 3. Trustworthiness: Did
the bidder sound professional, consistent,
and reliable?
Output: Output the name of the winner
(""Bidder A"" or ""Bidder B"") and a brief justification."
